id,value,type,threat_type,malware,malware_aliases,first_seen,last_seen,confidence_level,reporter,tags,reference,anonymous
1809414,run.openapiserv.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:20:54+00:00,2026-05-09T05:21:34+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809413,link.linkrunops.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:16:51+00:00,2026-05-09T05:17:12+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809412,modbus.openapiserv.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:16:03+00:00,2026-05-09T05:16:34+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809411,run.linkrunops.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:11:19+00:00,2026-05-09T05:11:49+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809410,src.openapiserv.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:10:38+00:00,2026-05-09T05:12:05+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809409,ops.linkrunops.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:06:14+00:00,2026-05-09T05:06:31+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809408,uid.fastrunbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:05:58+00:00,2026-05-09T05:06:40+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809407,db.linkrunops.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:01:23+00:00,2026-05-09T05:01:53+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809406,ftp.fastrunbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:00:43+00:00,2026-05-09T05:01:47+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809405,sky.linkrunops.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:56:33+00:00,2026-05-09T04:57:35+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809404,lib.fastrunbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:56:28+00:00,2026-05-09T04:56:34+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809403,cmd.linkrunops.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:51:38+00:00,2026-05-09T04:52:01+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809402,jobadm.fastrunbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:51:01+00:00,2026-05-09T04:52:05+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809401,data.datasrvhub.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T04:46:44+00:00,2026-05-09T04:46:56+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
